
agg_trade_id,price,quantity,first_trade_id,last_trade_id,transact_time,is_buyer_maker
2721178317,3294.77,0.044,7229648079,7229648079,1768608000119,true
2721178318,3294.77,1.35,7229648080,7229648081,1768608001389,true
2721178319,3294.78,0.609,7229648082,7229648082,1768608001394,false
